year,month,paymentType,distanceRange,noOfTrips
2010,10,CRE,20.0,278059
2011,10,CSH,20.0,299508
2010,10,CSH,20.0,287901
2012,10,CSH,20.0,257432
2011,10,CSH,30.0,26322
2012,10,CSH,30.0,23680
2010,10,CSH,30.0,24744
2013,10,CRE,30.0,36794
2010,10,CRE,30.0,22278
2013,10,CSH,30.0,25091
2012,10,CRE,30.0,28764
2011,10,CRE,30.0,27537
2012,10,CSH,50.0,1606
2010,10,CRE,50.0,1018
2012,10,CRE,50.0,1810
2013,10,CRE,50.0,1740
2013,10,CSH,50.0,1156
2011,10,CRE,50.0,1531
2011,10,CSH,50.0,1589
2010,10,CSH,50.0,1057
2013,10,CSH,70.0,90
2013,10,CRE,70.0,168
2010,10,CRE,70.0,97
2012,10,CSH,70.0,253
2012,10,CRE,70.0,224
2011,10,CRE,70.0,170
2010,10,CSH,70.0,93
2011,10,CSH,70.0,300
2013,10,CRE,100.0,38
2010,10,CRE,100.0,29
2012,10,CSH,100.0,138
2011,10,CRE,100.0,68
2012,10,CRE,100.0,50
2010,10,CSH,100.0,43
2011,10,CSH,100.0,179
2013,10,CSH,100.0,39
2010,11,CSH,10.0,8153566
2012,11,CRE,10.0,6252735
2013,11,CRE,10.0,7546181
2012,11,CSH,10.0,6282212
2011,11,CSH,10.0,7722302
2011,11,CRE,10.0,6023990
2010,11,CRE,10.0,5062037
2013,11,CSH,10.0,6003005
2011,11,CSH,20.0,279679
2013,11,CSH,20.0,223573
2013,11,CRE,20.0,391819
2010,11,CRE,20.0,279063
2011,11,CRE,20.0,325170
2012,11,CRE,20.0,315907
2012,11,CSH,20.0,236734
2010,11,CSH,20.0,280217
2010,11,CSH,30.0,24520
2013,11,CRE,30.0,31146
2012,11,CSH,30.0,25158
2013,11,CSH,30.0,19770
2011,11,CRE,30.0,26848
2012,11,CRE,30.0,29411
2011,11,CSH,30.0,25033
2010,11,CRE,30.0,22677
2010,11,CSH,50.0,1145
2010,11,CRE,50.0,1007
2011,11,CSH,50.0,2268
2012,11,CSH,50.0,1749
2011,11,CRE,50.0,2263
2012,11,CRE,50.0,1656
2013,11,CSH,50.0,990
2013,11,CRE,50.0,1596
2010,11,CRE,70.0,94
2013,11,CSH,70.0,95
2010,11,CSH,70.0,133
2012,11,CSH,70.0,296
2013,11,CRE,70.0,126
2012,11,CRE,70.0,182
2011,11,CSH,70.0,541
2011,11,CRE,70.0,503
2013,11,CSH,100.0,27
2012,11,CSH,100.0,159
2010,11,CRE,100.0,21
2012,11,CRE,100.0,48
2011,11,CRE,100.0,350
2010,11,CSH,100.0,89
2011,11,CSH,100.0,382
2013,11,CRE,100.0,48
2013,12,CRE,10.0,6961336
2010,12,CRE,10.0,4996706
2012,12,CRE,10.0,6607413
2011,12,CRE,10.0,6035826
2013,12,CSH,10.0,6106410
2010,12,CSH,10.0,8163348
2011,12,CSH,10.0,8139089
2012,12,CSH,10.0,6885652
2011,12,CSH,20.0,291153
2010,12,CSH,20.0,277637
2012,12,CSH,20.0,252490
2011,12,CRE,20.0,312583
2012,12,CRE,20.0,338009
2013,12,CRE,20.0,402551
2010,12,CRE,20.0,256449
2013,12,CSH,20.0,245702
2012,12,CSH,30.0,20620
2011,12,CRE,30.0,27108
2011,12,CSH,30.0,26729
2010,12,CRE,30.0,21388
2010,12,CSH,30.0,25077
2012,12,CRE,30.0,26135
2013,12,CSH,30.0,22412
2013,12,CRE,30.0,33993
2011,12,CRE,50.0,3037
2012,12,CSH,50.0,1565
2011,12,CSH,50.0,3108
2010,12,CRE,50.0,1184
2013,12,CSH,50.0,1227
2012,12,CRE,50.0,1708
2013,12,CRE,50.0,1807
2010,12,CSH,50.0,1395
2013,12,CSH,70.0,88
2010,12,CSH,70.0,181
2010,12,CRE,70.0,105
2012,12,CSH,70.0,291
2013,12,CRE,70.0,155
2012,12,CRE,70.0,189
2011,12,CRE,70.0,720
2011,12,CSH,70.0,853
2011,12,CRE,100.0,524
2010,12,CRE,100.0,19
2012,12,CRE,100.0,55
2010,12,CSH,100.0,117
2013,12,CSH,100.0,42
2011,12,CSH,100.0,581
2013,12,CRE,100.0,28
2012,12,CSH,100.0,146
